ttr,mattr,hapax_ratio,adj_noun_ratio,verb_ratio,avg_sent_len,sent_len_std,avg_tree_depth,punct_.,"punct_,",punct_;,punct_:,punct_!,punct_?,punct_-,punct_—,"punct_""",punct_',punct_(,punct_),flesch_kincaid_grade,flesch_reading_ease,gunning_fog
0.7777777777777778,0.851543624161074,0.9285714285714286,0.02027027027027027,0.022222222222222223,4.909090909090909,1.443137078762504,2.8363636363636364,30.808080808080806,0.0,0.0,0.0,0.5050505050505051,0.0,1.5151515151515151,0.0,0.0,0.0,0.0,0.0,4.1701504405759735,72.66813346228241,6.533591231463572
0.7286821705426356,0.8350000000000002,0.8404255319148937,0.2903225806451613,0.1476510067114094,74.5,6.5,10.0,1.550387596899225,8.527131782945736,0.0,0.0,0.0,0.0,0.0,0.7751937984496124,0.0,0.0,0.7751937984496124,0.7751937984496124,27.768100775193805,10.860523255813973,30.76124031007752
0.660377358490566,0.8072727272727271,0.8095238095238095,0.4444444444444444,0.21348314606741572,44.5,4.716990566028302,9.0,2.515723270440252,5.660377358490567,0.0,1.257861635220126,0.628930817610063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.732754716981134,53.2447924528302,16.745157232704404
0.6692307692307692,0.8150617283950619,0.7586206896551724,0.18518518518518517,0.18,37.5,22.776083947860748,7.25,2.307692307692308,6.923076923076923,0.0,0.0,0.0,0.0,0.7692307692307693,0.7692307692307693,0.0,0.0,1.5384615384615385,1.5384615384615385,17.830000000000002,44.411666666666704,19.17948717948718
0.6818181818181818,0.8505511811023623,0.775,0.18604651162790697,0.17766497461928935,39.4,21.30352083576797,7.4,4.545454545454546,6.8181818181818175,0.5681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681818181818182,0.5681818181818182,13.18957792207792,45.282045454545454,16.875324675324674
0.7284768211920529,0.8570588235294122,0.8272727272727273,0.43243243243243246,0.18604651162790697,43.0,30.83018001893599,9.0,3.3112582781456954,7.9470198675496695,0.6622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.121903973509934,32.37437913907286,22.252317880794706
0.7608695652173914,0.853925925925926,0.9071428571428571,0.203125,0.10666666666666667,15.0,13.594116374373144,5.133333333333334,7.065217391304348,8.152173913043478,0.5434782608695652,0.0,0.0,0.0,1.6304347826086956,0.5434782608695652,0.0,0.0,0.0,0.0,7.954644808743172,63.104300126103425,10.220933165195461
0.588957055214724,0.6861403508771928,0.8333333333333334,0.16666666666666666,0.07526881720430108,31.0,18.175074506954115,7.833333333333333,3.6809815950920246,4.294478527607362,3.067484662576687,0.0,0.0,0.0,0.6134969325153374,0.0,0.0,0.0,0.6134969325153374,0.6134969325153374,13.195165644171777,58.52391411042947,14.757791411042945
0.7053571428571429,0.7965079365079364,0.810126582278481,0.34210526315789475,0.11194029850746269,33.5,5.852349955359813,6.75,3.571428571428571,9.821428571428571,0.0,0.0,0.0,0.0,1.7857142857142856,0.8928571428571428,0.0,0.0,0.0,0.0,11.765714285714285,60.579285714285746,14.771428571428572
0.6779661016949152,0.841875,0.8,0.24528301886792453,0.12980769230769232,69.33333333333333,13.695092389449425,11.666666666666666,1.694915254237288,9.03954802259887,0.0,0.0,0.0,0.0,1.1299435028248588,2.2598870056497176,0.0,0.0,0.0,0.0,24.420000000000005,25.06864406779664,26.763841807909603
